ORDEM;NU_INSCRICAO;NU_NOTA_MT
30;e1268d2857278d8ec8055524bc29cc16b5c4174f;467.3
31;b6b8661c6a0867a13e83b584a0468d5e05804128;553.9
32;3982766156703660bd7c9662b663d250a68f2734;394
33;b82b9c8e6d995692aedfad5a31c0c14cfcf108f1;415.5
34;3b096a7385fbcd24adb5e622db6ec33ad81b711c;427.3
35;ab01ff1e35bb088cda3ccb34ee11e718cf49961c;508
36;91720b5fe48f70c5f4b21231f265badbb7965923;563.6
37;3f910c1717d215698a89b7774fae6aae9ce80a9b;383.2
38;51e2e191d63c9ce01f2474dfef6867d39bde0e22;
39;160449496c59d74d6efaed45b00fd1802d7b8fe0;470
40;5c90f15a173eb63ffaff1dda01bb41959cea8ade;435.4
41;642546ecc2ac60f7533a50e51b3ced50d438fa2a;373.9
42;bcca1cc0d5b3005d943cd206eb899d1b0470d118;542.4
43;80657dbe741b33c3b8aa6627ff05d721fc473535;405.7
44;c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3;555.6
45;ce018e1ed8c91f329f952c59abec1059d15544fc;539.7
46;15fb3ba785590aea2be363ee1b189f1e0c38d168;390.3
47;36c49582ac87ab0169f57407a7030d012e19db0f;423.5
48;272b3de95fdc0983aa22bd9cffa178a3a362ae43;471.1
49;0a90fb44346e04615bc4879b2769751e65740f7e;354.6
50;45baf0018e09111593b980febba5122c6045203b;345.7
51;1495c703543bb33d4b2a3a38075e9102541d872d;443.8
52;31640380bd530bb03092038113931fe88235552d;
53;99b9a595ef66afd906ff6cc1924b8aec91d569ac;629.3
54;89b718d7a23461843c46a4e7e3b44bda0b0152bf;393.6
55;2811fcc8205f513d44f523a753e74e6cc593a4f9;708.5
56;777bd9bcb30c7af5ee67f98072e572a304ad0042;
57;9061a9d12293f7a706455370a3c7db1093a86775;371.8
58;74106591d629e3d8bae3a811a6340f7e31f56ff0;378.7
59;2c28ebcabc43052f3029141fa6bec9bdef65dae6;468.5
60;ccb11e219efb77f2d1f773e490e18204b743c531;
61;b7c29a61f67a7b11a811dd41db7f6cc18cee1082;728.3
62;546520198f2a8f443f61687181896c7a91614265;434.2
63;00fad6ffd37a5fcd02b67623b5141406caf0ffc0;414.1
64;3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00;457.8
65;79596e863089f8b7f26b24ea161920750fb9ad98;
66;42c347cc2d5a972008ab3fef158bec426fc32d22;370.8
67;1184e759ab3abac459311e19e2d4f1773bf1bd41;412.4
68;f102d2cce60240d7c8cc8dcd7e819b81ed724c14;
69;d11f15d217391ddc98d0007cabc4c21f9438b55b;355.6
70;75863688688db57afb85d45f3a0f8359b4a3f256;401.6
71;84d341e1ac9c010aa58f782766258ef3f097a6b7;492.8
72;c0971b9328ab9ffaf2054856c98080d6070541ae;407.6
73;a10aff56c82f1bcb0a43c0aca5061901f21a4dac;513
74;a6905d20876982ff0006a442533a58cbb39da4c5;604.9
75;48e9256e4da87667fae37924792e56e197a4dd88;495.3
76;ad810c209e89e9b5e2080eefead70a0f0027c30c;397.3
77;b77d99ff8ee7781a40175b2e1e4dc011e63f1920;344.1
78;231c9a3c08249643f87ed59301e84e7605b2176f;397
79;dcdfc953208fe59ec5bd9288d5be4fa3300deb89;
80;4e1c0573b418b839469dab13754968982db53a10;
81;129d6daf0892c79c68c98ea20f8197645b21b221;488.3
82;626eabd333cba14cb6c0c17b13cc2ab36f9070b4;
83;d1aba323399aba7434327ab725bbc2d5682316bf;363.1
84;6ce27caca885b1a612477f606ac8d4e98b90d8e5;
85;272ee225651d10cf558d114ce37c5189da942a62;418
86;4d288c96983da75bb8c3983063becbdb867ace89;503
87;247c20a9befc204fb261300c33ea0cef3f1d0b7d;507.8
88;67a6a095cbc03868169ce24cd9f956d3b7d4d7de;
89;6169fb11c0c3d6cc7b51edc48b068f948389c40b;392.4
90;4ee9f9a4b868e701463ca030c0659e2e7935ffcf;
91;bad54913c91cb3f2993dea3652a90be28570a247;351.3
92;473fac1a473fc1acbb11e9602f39b135a3c9d9aa;418.9
93;28d46528baddeda8c5c1951536a238d791cfa9f8;413
94;6aea69cd043e47f99f5dc98264805ab85f0b6231;421
95;9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd;433.8
96;208e05b2a1bb30f66d509e5f53a8e126fecf8d6a;429
97;f02d83027c206dc62f6051b098fe57514a512648;650
98;1a2b323760650526e617eee8e9b74f5accc8677f;496.7
99;b385375f93bf3c8cd9c1c99d0f136b1d718aafaa;487.8
100;da368ccf70b742a39fdaed13826c429a393b9b67;
101;f46312530d2396d3e19b4f871c08c69af169e61e;408.4
102;e57382b06163599199c713cc1547c331bba1a3c5;
103;db3d90f89c29a36e60a2fa1f8312dff684a8c7ca;380.7
104;6cf3b5ed0cc238c2187d949eb1b4448e980e3da8;400
105;df1637272672a237c36430a25a3167cb50a28bbb;
106;a7f39916fea1e145dfede35799c94998938c7b50;371.1
107;ec425f49307805a69a22c5e48a6f7b2375375b61;411.8
108;9dde22272c72904e4d722d23b2c0f98c59820691;575
109;61a7418ba4149a3d35cf82235c6d775a4167becb;408.6
110;693e5ddade1cea23d6f3bf9c19be79aa07c458a0;378.4
111;5d409df3b610ca98c29f339a2b9e48965f7dcdd1;457.4
112;6698841b20a8b8109a62ad87c39b775f9587acd0;0
113;5f7acabd799a730469eac13ddb8e05a0d8a84572;
114;a396d9225f5b48b7177827c0f09fc5285674599e;
115;9f3154f46424b7847fcc22640b8de69c4db14ddc;708.2
116;f0877a18e15982d733e9aeca82bbcb2a161917e8;445.3
117;aa16a27c710933541bedd77943eab6beb6218728;496.1
118;9ff200dba2915df2a66ef68e2705e8aa0d17ad24;499.7
119;f17bbe8db9aa99451eeac1f52d580a35999d720e;345.8
120;648f9db6808006abd9065a693ab8a8a512551892;
121;8fef04607c9db1028c9a958e49f3afb2e980c8e0;
122;dd0c57d54e154ae5c01ea4174f4dfe4990ffda07;540.2
123;5c6dc7f8539bcc91ea9bbf131aac5bcd06292b85;
124;e61f329517670fdd3f308258e43c37fc12642e69;540.5
125;edb8ce295c9abc8a873f4424d995784b6ff58b0b;408.3
126;0c5e5107e61c051809c72a731f646ec08b424b93;399.3
127;96e3f5d68c22f8e62852f1123856410d8f8e8e95;
128;2d3a37f2bafb703f74c57baf12d164e48a36e8ad;
129;e1511a8e927cc21c5b23587d397789491d1ad916;363.4
130;92282a1d27d299c7bfc377a814e7bd78c0ef3d32;538.3
131;062e3b1fa078e4925a3d4a459bfe966e8a9c768a;
132;1e8cf6295d7a2c1f1f7a8e654e7d0bb9942e20cb;403.9
133;fb434bfad5c0db89bec493ee50c939fdb02d2f6e;438.6
134;7bec1e065095abd13da928acd485ab71e5eabcfb;437.1
135;a1619705b57c0be2f9408d4d1fc1db1f065ce13e;443.3
136;bd9c2b0dbe1916a675895666caf69e0df9dd7b22;724.1
137;251e83c18a0d45019ffefab5461664ce84fbc4fb;
138;fce4c239420841dddad81c7b85712e1fd6fcd024;
139;d5133b425c6fbeba4173f47f18e6412666646ddd;501.7
140;861e1d13ac4ee778ad76ff33a93f399004221278;626
141;b2e643a538180ab8bc1868a96a22d48d80c080dd;405.1
142;1b569248445c52edb114e326e66110018229b00d;351.5
143;53f72aae18be71e50123aede98c2286902d40ef5;433.2
144;f4312979d3a9245a11686e74552a2f235425c8ed;590.1
145;b4a0df58cade1c3467b12052df84b1f64d6aa605;443.7
146;8144886bbb1baf3730b177ac63e36f654716e8a4;
147;a5c056dd012783bc35e17f7687aaaec2c56f2dd0;
148;e3f149e277ebf61924972fe87fa4ee816950f493;372.2
149;e9ee228cf82265126b0a218a6ad0d4515f9e3576;
150;a5f4a62d6ed268da4ae565effbde9e65278253cb;664.6
151;66bdd2f12b50c2fcf0f3813350b0fc0040b1af9e;
152;d0573631ad8f7665d389f30949fa604a1c17185c;490.2
153;acd871097b033a83ee458aaee2c66d5bc395027e;420.6
154;47711503c2d6694a7e37ad8ac91f7d3df30d7dec;
155;056f5b129ee281a862945f4d05e57d909c84de44;416.8
156;b0d94e0a86684b316989083d8e581d064413fe59;501
157;893b891eb70050641ff46e20d9cd7412a74154cd;
158;8bfbb04267b3a22be2aa4c532561ef0ade2c63f8;676
159;ff42818829a5fdb786e58b4a8799183c97cd005e;456.8
160;0d82ebb403cc907b042ba68583db34cf91381eac;423.9
161;a90dcc63e4edaf1a6bfefc1e75989fab0440d3ce;333.8
162;85e31040cf18996a726aee2d2a01578d6ef5f1cd;
163;6d1b4e3811f2f5a30453c844ae4bdcb65deb8e4e;451.2
164;346b0c0a61fea016a8126f0e5e8939eb3232ba1e;446.1
165;87d0b611ce5547590bcae08369197339ad32afc5;366.9
166;7d7b7990763af03f52a68e30ca6f11b8d7c2ce05;502.8
167;a4597468a677a40f5f065610aa28fcc2c3838ebd;488.5
168;125c45ac026f83535195ece61d2fcbd7d7aaaae0;556.7
169;369caf36ae09bab2f650ee73f4e2f5ca4b51500a;
170;59dbe08f54be241885399789426c1fbcb6ed0867;494.4
171;6e8a48f942f8c2cc1f05482c16d28a31d987c5a0;454.3
172;dc9f3909aa84b1271eb1dc6dec088b9bfbf75587;394.2
173;5fad4c8c56dfdf6e7800a3ba5eae6de2bd459b67;509.6
174;58033f875506d9f62ff23032e495cb75a2daf257;
175;eb10fc96135fd7cd1d7c876451a062bde07051ae;568.2
176;ce187976d244a123743fb09b950cf49b12b2b679;415.2
177;e482d33b95a968e47e8a52f73def5b7a98ce7d9a;
178;f60f16f31f37449eb3b002aac4db0fbde2d2b33a;445.3
179;3470b3bb5604291e07897afb918534cd5d386364;441.9
180;67b08e14867ede6e7fe33926ceb9161f7e0c66ae;538.3
181;9bb4a12e59f092a266e1af079746049299fdae88;
182;b6c3bebd9592aeb68454400d66770c1dc36b617f;
183;08818ae315fbb1a1c9c50a007d872cb72278463e;548.8
184;a40af8a0f8734b5be92ba7f16dd72f3ddbc05c7b;465.3
185;44655faaf1acb01e9fc70ad6b77ad0239c5fef56;367.1
186;95451722fb1b782909b3df3ffc703a88fb12b313;383.8
187;63dc1b437d96b6a146d210aa8f972b832410e224;571.8
188;67496ec5a22717043ce613cce28c2d5b02be2ef7;463.1
189;0b0b7a416cc00e5a031c9bdda7719527ce357d61;393.8
190;4071da9a69ce04ef14cdb5d0b9e840480c932f65;487.4
191;fb77ea2ffa52dc5de58eec2ebc3918f490ee2504;602.4
192;6e08cac7305ff64156eeaa72b68942d09ff93082;351
193;910791ec7430d6c0dc5d458a3ee45d039f4d8df5;391.2
194;6463d23951a4a7b6649ef55fb009620e28d40add;443.8
195;5359abb5e689d8cf4309fb4fa9a53eace6c3af7d;
196;39defe35bd14c3553f6328660944e33b0ed63bfb;374.8
197;ba06b50e2e3ca0c04af62bd7f270f625d66bf99e;
198;49a2f83a9a5a13127f13f8a36e3670d522ea12e0;700.9
199;c766dba145ea799e135e91fbfbd0d6bbbc9efb2f;500.7
200;b788a1168ae30ef2e7f47b81bd2e09ff2a4772a9;375.6
201;423f663aaee77c38e58585eed1d6164b18dae6a9;769.8
202;a37041fe535e08c231eec6123adcb360bec38dc3;420.8
203;61a424fee2d81fec9768fe7abbd8878a7507349e;517.3
204;7297c5cec48d58af05072b3e08162279b4d84893;
205;c3f2d9b6fbddfc7deb60e585550b5769bb84155d;400
206;8e71edced750c85206ab24012602994cf8140059;341
207;df3337f202feb4e25f9037e025a00dc1da944a80;631.1
208;982d23fda111c3cd84f162b83df3c3a7256ea0a8;
209;e2a4c390f30c56e9a345732a7ca8104f27e14572;601.5
210;fa96320abd17f81bd704521f2fdc09702abae976;545.5
211;0509ef3abb62120a9391fd4fc1c92ffe3710b517;539.7
212;ef0f02e5a1e84942b54681be04e52a8674f1deaa;485.2
213;c791bda7a631497bafbe7e2e07877ecf160304b3;
214;9a51b87424facc3b25f74f90e61e8eac980989ab;570.8
215;8fde64a7e331806df71e2596ff2f31497ca78c11;
216;935dc60b90aa6c8fec5b2ef1c077e20a80b22281;400.1
217;0e25c18ed0963e310cddefbe4108979d90de7cde;381.3
218;c9cc22f1eaebbcca77c6bb957025e06140e5e66e;
219;7412efb0d0534ded282ce1c9a88af54e0f36644a;348.1
220;a317a600ba63341955c268d0265811e0c3dd20b4;793
221;013aec9f853e85d9125afe09d4b7da26d7a1e24d;
222;96c66b6fc92ae61270db0ef1da346eca6cf54130;
223;7346c03052846aa78675d7564013e0e959ab38cf;509.3
224;bbc6dd9a5f9ea38a105623c1fcefc4134ff924bb;547.7
225;fbcb0c5858209a6c1dfe9f39ac6e3de3921c7ad8;
226;a5cde16bee45b732e31c8c55b2fec1b79ff97046;533.5
227;d40fd9c5076e9e3e181bf2e5dafaebea38783122;
228;64a8625af4fb1714805c4634f669fb17ad67310d;409.6
229;bc74e294b8d0745d3316d18ed9b84ae852cfcc4b;421.9
230;631cbb3274685fd161978d39c814bbf613179ebb;412.7
231;331c6c1f7f917784cad0f75120e892fa61296e5f;
232;b4a02129a2eb2e48caeb8ee1f90e6edd20e47e90;
233;dd613c57f86bb9ed90f1859eb25ec8385a9222de;455.4
234;613ecb6c0cdd09672c811fa06948a5d3a4b04cc7;429.1
235;fd01057f860dd501429e3fa05a345cf0941e1782;666.9
236;5d6120142a65f758b1378db4e0175176746f9b47;
237;a79131b85ffd8fdb7990836680caf5ef1b1bc137;504.4
238;e956cf0f82a12a3291a034ba31e4e8d119509011;379.5
239;a9440d9cf9fdfb36eef43048e47442cce8d2bfcc;
240;86d196a219cae0044d965f6341c3ac1f2bf69160;563.3
241;50658f747ae7bf59db92f743b02abde5a78d2d37;448.6
242;fee82fb15bfcf8a1460da7284b27693af1b3c7c6;422.5
243;178e54e0c2c843aab3cfacfdf64d9a4ff9ab7f6a;355
244;8574358c516e58f620c8063cb0a6f86ed4e896a9;
245;435c46251799dec015a57481036758c028791464;
246;2ee7a82aef624c761dfae25a2ee5d4b552fd91f2;621.6
247;ae4c61f34afd8b719837177d0854ba0a210da3db;364.8
248;a044a1e547dad90f8608df7afd576a207c4001cd;450.9
249;1eed09ac852ef6ec407945f666b29d8fbc9b0d99;422.7
250;6841ec4a9efdcc54c0394357ec15a04618ec4d1d;372.1
251;1d709f367867af30acd11e992b6b6770b0a8faff;434.3
252;22f0f2792921dfd35360d9e91ac16dde2890d83c;514.3
253;ef011621482a9dee851c4ff350a276cbb7314cb4;471.6
254;a12c2c73d4ecbe11133723153943707ebd647c22;444.6
255;dd99aeae121391e0ddda912def34d3e98093ec78;362.1
256;644d571686fd5e9d84db086b287a01d2ab7f35d3;396.7
257;41ddda1e529dc0f4b7065dbb8b0ef5c2c8167689;529.5
258;cb54d1379bd45cde03b82f65905bbf84abd3baaf;388
259;da9217de5e24da3242e2192fc0e32128ae0ee669;484.4
260;cbebe25286f6785db241013338efe8ced4427f3b;362.8
261;a91cf55c506b57307a93e54c0e2bed3f889aec31;574.3
262;a1ab89a45a967e8460f3fcca4bc7aad54df3f10a;
263;41f626a0c8b1acb4ef99d18435b02314f22e36f1;487.9
264;f9e84e5d4c05d430d3046cd48ea466c9e4b51e3a;550
265;cfeb4d4e13d8c174aa286b750b46d929be83fec7;570.2
266;5acc586e0252b7837e16e7cfb9eb2c40d85572df;427.6
267;4917b708ea37473fab545cb80feda87bee2f7020;
268;2b2c7754e0b1a7cad1a420939104bf18bf7c311f;524.1
269;bf5a5d5f5b89cf2e081bd3dc5cf3692c1291c904;419.1
270;f49f7f2e0d78bcdb84ce69e01fadffb6e9ff6820;
271;679e261a8f58126bc51f9a2c8f35211535971fd5;407.7
272;2abd4f6c3caa0744057a073263caa9fd980e86dc;488.5
273;3aaaf07bb210d7bf8c0514a679d7023b4cf70e90;445.3
274;0dcf0661772b27e3c27b47c8b49b10873a885bc9;593.4
275;0243ca0a9fb9c73ec70af7426a672b4f82e285d0;455.7
276;d32ba56d7e4a737b9dc6bc9aaabe0877c7aa6351;367.9
277;64910b7de826e43e06efb5189d2121fc1c7b89a3;519.8
278;f9b0df23ba93f29c3a4a288cfa118a6ebbfba238;688.9
279;df429919634724ded011840e9ed123a64bfddc51;623.1
280;ad5629145416eb13c028f552f7c73842b1b518eb;
281;b8511161ed92ac59f3f68ea56dd6e282d5fe3e5b;374.4
282;8ad6f52bd6e75db2591cdfa2e0825592c5126b24;403.4
283;2a8433d61a278c8c517278e2a928965b93917dbb;553.8
284;3df05c7a16520c0b6ee3bff020b1db3254d30a89;491.1
285;4ce4f5193c8b0d8535c598dc25228443fd844587;580.7
286;db529d5e8a4f8e796f838c1890af2633fc3c1f8e;342.5
287;95d456930262780ab8fedbaf728a56e27d20f94a;547
288;a213772281a825371e92702426333e276b4829c1;
289;703edcd24769d5689a226e79ca67ad6e8058f0f7;425.7
290;4c04c61d4ac7ef0069100f0c0928f74912903374;408.3
291;70a9b7a6651ae35fb5b2d5a43437efce3d197b48;
292;54516dd9e6563779a873da6b30c7d555c4266393;499.6
293;63bde33ebe9ad0fc963525afddcdcc9c08a6dfd6;
294;80e055b7127d349877046be5cd73e00c4b32a50e;476.6
295;0bfb81fc02435247ec231ae57e63a32cd40fb6ec;
296;45a1bbb07d55d1fb8a5ab2308ce2dbb6327a4fac;
297;ea318e796ac368e5dff6ce8dcc96f1fcd4bc3b69;
298;e06deaa01aef16d9d8f7c899866739286613cfd0;808
299;ff05e5229f273a2f8a6cbb5bbb257f13ef7eb7fb;541.3
300;5d0127d96fada25b0b7c0a592ffb3381ecfbc2a0;513.8
301;92b7e60904819773f82f0f53960c37ca2b144d39;466.2
302;1a84b93ca575062c006125529be406acef6ae975;501.9
303;23007cce9ebcfc405f7936f0ad632b0f038dd36f;510.3
304;7de403d4429cc1c870a8a14a4f2bc7a7df154ab4;469.3
305;d95f5ffe92b5ed584c03c94f4006e4a1af54cab9;451.6
306;8f8b07b4cd6b1833b394cc3adca1f8b13db9394b;400.2
307;870d15b8fe8132117039bba265a0e415674fb23d;347.8
308;b7f36943efe5e73389119254ce1d6def2cc46dd9;568.3
309;ee16cee0bc3e5136e8448f79193c3ea6c1380701;393.6
310;4c7cff8ef530f8e4255f49d55795c219c90956fe;580.2
311;aa63334a3db63e435c6026324cad73f7a695580c;499.5
312;9fb848ee57eb4463467ceb4776f8f75d8d9bc46a;364.3
313;626b48441bc0842e88eb5c8b24ca22f4587ccb3f;388.7
314;e0173a40a983e936c98ade21106765baba4b6509;
315;a16a9720ced18d87e8da25fa6150236040dd989f;515.5
316;534a5ccc36206d81a5eb180e3b44728ee99d93cc;
317;1aede9a35ae44485c71fa99918fd09aee7b96d1a;488.8
318;c671bb87e11ca791a91cfc65c12fee69df60a1a5;496.4
319;9f087def7c4ed4e75cc003afdb892580ff9836ec;
320;40ff1e8dd8dab68f30b79a1be7de5f5caf866b22;471.3
321;1dffabe7887ad7774f308121a4c44e59e7c84733;338.8
322;996e46fded242b44525926fb1b068a12237463cb;
323;67a1c4628edeb0b7d18d79c1aae2305afcf43a78;571.9
324;2c093c320ca1efdf66915d4e1ce0276cf790b52b;
325;db8a097f3c3c131f6ebd18827ea877aa73a5786f;430.5
326;02056e28e3f24e8cfcc2ad918fa039b8652b22c4;461.2
327;9d0b2b0f07524167fbdd793161ef41c85991ed78;459
328;d11819fba8598143e712d2a5cc30c0943700cbfa;477.6
329;3044dcdbcac79761ee39d007357e199993672243;
330;72b3b2d8b0e28ced371eb02557d32c6781c9a911;493.1
331;6d8eb423dfa4dd6603107f22bf47d3c9d4ee45c4;444.3
332;4758fbb0014058cf39b14f5a3da28a8c783f544f;347.2
333;879880729332b833c5d999f9798315df91a09b6f;417.8
334;eb52cfbb9539b3df4f9da8e5c7c2048ff2740a2a;
335;c0b55225415b1e0500c89c89d77bfa7f2cbdb628;
336;0490b06999ff7bd55c3450e763c5bbe1e063e8ba;563.7
337;6f699cc51c36bdd17d1ed85f157da410b4f08c81;700.5
338;422b704b182db98fbad9ef42305450262faed770;456.1
339;ec09ff99813b44b59884229cfbc73487c2189b62;378.4
340;e8f114fa76becc281dd7a4a7635ff20237ce07a7;571.7
341;4c598ec0e87d00ca4e493a205015e6b62ec03876;
342;5ddfb5290da0896a8333895230a2cf9981afd5cc;
343;260e8c3d95203295bb59c8900c015fd54ebfb6aa;
344;b1668db825d86ca7fdbc216a6db45dc4d9aeca04;615.3
345;0b50e2e922e6adcfba9f0ecf11ec687bb115eedf;454
346;d9b157c693c6ffd849736d4cf2d2c8beb0e7f649;471.4
347;3cb6e684ddf67cf30c2d8219862cac45698e72c2;
348;23b856821be006a7b9243616d292267cb33c238c;
349;298e708ed1b70160081078841f06a8275977c202;
350;cc281b8cea7b5f4e712a44e04fa59b7c20f4cd4e;
351;234aa8f4c45f5e41525896f9769efb1bce1af2cd;
352;dd3217817b1f24c789d09e68c5244e71e215d0e4;502.5
353;302ed7aecc4d399aa51269e8aeb3ca5ae8d5f84d;
354;1798818f9f29b837aa5d16c706d2cee37adacb4f;337.8
355;d6c84b684e1920613c3fe86973764bc9cadf5fdc;466.9
356;5d64bb76139ef9d3e495c0c2133d9920a85fa309;
357;ab931c6836c180db71f1270edd6d7bff1308c4a6;421.4
358;226e439a30c9e22a19847a52703de2d5ba8f84a1;
359;d17a817abbd7212c5b85e34749ea83c566bd7722;468.8
360;3243a0beb2215367deb36de2ff9563d640883cad;618.3
361;3b2ef94964ac055274c592bc59564e59639b5d03;625.6
362;7d61978f6ef45ac3921b672921d1d97614c3433d;538.5
363;beaca6729e86a7c795c498b6e25250ea891a48b8;
364;92a20f2ba9e6acfebd78872dee9db3a5938976ff;374.3
365;bc58c3d366d4b7e9c243a548cb751e8e533b4b32;651
366;34710c677757dd60bf2b987d9d88168d47ff489c;
367;19164ed50e680c3a2540da61a6511e41a129f63c;428.9
368;22969a21462062ec4859a24a3fd8f90a944cf666;632.8
369;d8667562160e206864f00c711711239fe730339c;
370;4205f0e3f0e2cc1dbfadf39abfd026d6e94e6417;580
371;d7357cae59d62a3ab8dad91a33467c203de15630;
372;748118dca277c81c45d063e06108347622756f60;441.2
373;5ed08f302065e80f21e75e0bf0cb9ec3a0e26650;446.3
374;9a4e0a98e0911cf6e50ae79e1efe2bdd55478345;466.5
375;4300eb0e3c525e1b33085c72ad0758e1ed096ad7;478.6
376;4d687faf193855d960b4c0140d83daec79342250;
377;d1858d11b82fc1f76f5db44b9d305195f4d7a859;385.8
378;85e7211f5b3026f1f20491c7235b5aefbf698c38;
379;8b512acad845df7958024f9f7d0e25ee9ca63950;
380;19f9426b3ab192f8082e4c267f0674169bf03c49;585.2
381;3ffea98ecb3ba33d1c35f91f69532196254d320b;526.1
382;5be7c442923ad05cd960db63eb07e6db831ee770;575.5
383;157abdc1514490d54d795223e37797546b08f1d2;563.8
384;9470d6424eeaa6400075a611c8a9ee811bd17481;483.7
385;b792c9b3b0209af4e1c28f7603c0b611a5350767;549.2
386;4abe1cfb874516bb7410bbe500e4ca00c5498c1a;669.2
387;a36ac52e4c160840f623058e129c165a3e4e14ea;471.5
388;9d8d5916a877657cbdab005ce884da843c6a5794;371.4
389;62025ee0ca1dc9292cf2aa25bbfab7621239af8a;
390;8417148aa6a61c3d7195d0882c033e0ca4feac8a;382.3
391;afc8c322ba7cf046a637ae59cd3b14954ab7676c;552.3
392;4eb963b67b233672f6913970e55cadc69fd0f7c1;534.5
393;8946aace137c8b101a3cd8446768b169ad5d8287;559.2
394;a4c6297925d40eb97c02275fb402dd8e0c287c7d;380.8
395;13adfb64fa65351b28caac16c9e3dc2bd749ebf2;473.9
396;fd65e43c337210250d22c7a39123539242a89a8b;394.5
397;fad8e20f3f328db7232bffe75e3c563194e0d684;446.9
398;bf97a3b04c49287b68dc40a25860a92c13970024;376.8
399;a6aeb258fdeffd377856230dfe83259a83665fd9;534.2
400;0d427f80fbdefb439b19f66b2f252a08d51133ca;502
401;8a172a5516a642e9229a8003b2500b5b5e4e5933;407.2
402;7d4bda1c9406e91ebb80981c6452cff5a7cdade0;671.7
403;529032e4fb1c01051a7c5ea7c19e3604b7acac18;
404;55ae2fd7fd34a2579701f3a2eac9c8c24e465c27;409.3
405;cd842ad967b63c619c1e52e8ea47353a058ee5f8;417.1
406;bb31049ef206a53a10057752481a1559b9ee2275;
407;f57c9f2164975bce98fc7391a5e176b62b0eb5c4;717.6
408;20fc7820a6fea2f5d4e23ae7beed2452090b8594;
409;655e2a53ffab6b8541ecf86539a6bee3b37bb510;547.5
410;7de23f90d214d1f98426bedf47ed3c05c0087ac1;490.9
411;51c051b3157a4fa56457dc1696043a6945ae7c73;
412;0506250f21b5d7d3a31671a0cc29af5b9097b002;452.1
413;4c568ffdb1a01c7c4eb70647d48dd0e131442928;438.8
414;927796e82f4716ac63c6a4fcb3d336bf9fe4c4a1;
415;79e04ba796d2570f8a804e25036d80cc56090187;467.2
416;9ec64728c46e3718868543be969fbda3f81034f0;
417;71e453a64b15396a2b4698aa165b7226f0a0a0c8;521.8
418;24417c053590e515560d83d11c137933537e265b;677
419;c4181ae403c78931711817f1b7e813674f843e9c;643.5
420;a9683b111cf9b9e18465166d36aeb4307faad9e9;502.1
421;0c0d3ca28cce8e9652ecaa37f43eb49623411b8f;467.4
422;7ab7545a0c440eb089a703b9061313a50d8c21ed;485.1
423;84623647e1d7397a55c6323ff8fc4b0e31de32aa;
424;adb6cf7bbfb23284d5d234582bb859cb11eca6de;619.7
425;f042c15a1e9739cdbf4bf92aa422c555e5ff46a1;382.3
426;23d42e10166a181c325254c8438e4ef747fb930e;446.6
427;7be49b1fc65e7dd7a4ad0722e441ef665c3dc1d1;442.5
428;3bb01b4287ac7a2b3b8bca398bb2cb526dfd3b72;415.8
429;067b23b22592cea9f9f7560c57ea38379b106d60;438.9
430;a398ec4cdbfc513d15b7b19893373c1a984e3158;0
431;d5a0dc511f51c3df355800a02d0296fedc3f7294;
432;6a9fd678d72556a57b657dd2631aa01551ef8e6f;346.4
